Year,Month,TotalRainfall,MostRainfallInDay,RainDays
1989.00,10.00,121.20,23.70,22.00
1989.00,11.00,78.50,12.10,20.00
1989.00,12.00,239.00,50.60,16.00
1990.00,1.00,166.50,26.50,29.00
1990.00,2.00,213.40,23.70,28.00
1990.00,3.00,25.40,9.10,17.00
1990.00,4.00,31.20,6.30,13.00
1990.00,5.00,33.50,10.10,8.00
1990.00,6.00,125.00,32.50,18.00
1990.00,7.00,68.40,28.20,11.00
1990.00,8.00,38.50,9.60,15.00
1990.00,9.00,38.50,22.30,12.00
1990.00,10.00,144.50,34.20,24.00
1990.00,11.00,54.10,13.90,11.00
1990.00,12.00,93.70,25.00,17.00
1991.00,1.00,117.60,23.20,19.00
1991.00,2.00,121.20,31.00,16.00
1991.00,3.00,139.00,20.50,19.00
1991.00,4.00,120.80,17.00,21.00
1991.00,5.00,4.50,3.30,3.00
1991.00,6.00,92.90,16.70,23.00
1991.00,7.00,87.80,23.00,19.00
1991.00,8.00,20.40,4.90,8.00
1991.00,9.00,114.70,40.50,15.00
1991.00,10.00,148.20,46.80,18.00
1991.00,11.00,136.90,49.70,20.00
1991.00,12.00,23.40,4.40,11.00
1992.00,1.00,40.20,11.30,10.00
1992.00,2.00,79.40,15.50,18.00
1992.00,3.00,65.20,28.40,24.00
1992.00,4.00,101.40,34.40,18.00
1992.00,5.00,98.70,20.70,15.00
1992.00,6.00,26.40,9.60,6.00
1992.00,7.00,120.50,20.90,22.00
1992.00,8.00,115.30,19.80,20.00
1992.00,9.00,110.90,30.20,22.00
1992.00,10.00,30.80,6.70,16.00
1992.00,11.00,141.00,28.90,26.00
1992.00,12.00,88.00,27.30,17.00
1993.00,1.00,169.10,25.40,24.00
1993.00,2.00,20.80,10.70,13.00
1993.00,3.00,74.90,36.80,19.00
1993.00,4.00,109.50,27.10,19.00
1993.00,5.00,160.20,32.10,19.00
1993.00,6.00,97.40,32.90,14.00
1993.00,7.00,90.50,20.00,18.00
1993.00,8.00,27.50,8.20,12.00
1993.00,9.00,216.00,59.00,20.00
1993.00,10.00,50.50,20.20,9.00
1993.00,11.00,121.30,23.00,21.00
1993.00,12.00,198.70,22.20,28.00
1994.00,1.00,154.70,18.70,26.00
1994.00,2.00,236.60,37.30,21.00
1994.00,3.00,101.30,20.90,24.00
1994.00,4.00,97.60,25.10,21.00
1994.00,5.00,124.90,18.40,20.00
1994.00,6.00,45.60,13.30,13.00
1994.00,7.00,124.80,23.30,18.00
1994.00,8.00,69.20,18.60,14.00
1994.00,9.00,70.90,13.80,19.00
1994.00,10.00,87.50,18.20,16.00
1994.00,11.00,146.00,27.40,21.00
1994.00,12.00,191.10,28.00,26.00
1995.00,1.00,178.70,17.70,24.00
1995.00,2.00,164.80,26.90,26.00
1995.00,3.00,97.50,39.10,19.00
1995.00,4.00,23.80,10.80,11.00
1995.00,5.00,77.10,17.30,20.00
1995.00,6.00,20.80,6.00,8.00
1995.00,7.00,81.20,20.90,15.00
1995.00,8.00,11.50,3.70,7.00
1995.00,9.00,68.30,21.50,13.00
1995.00,10.00,234.30,56.20,21.00
1995.00,11.00,122.90,25.70,21.00
1995.00,12.00,173.90,36.90,18.00
1996.00,1.00,217.00,24.20,25.00
1996.00,2.00,135.60,30.70,18.00
1996.00,3.00,201.50,55.20,17.00
1996.00,4.00,114.50,25.30,17.00
1996.00,5.00,69.70,15.10,18.00
1996.00,6.00,46.50,9.70,11.00
1996.00,7.00,67.30,24.80,12.00
1996.00,8.00,134.70,35.60,14.00
1996.00,9.00,36.90,18.70,12.00
1996.00,10.00,239.70,40.60,27.00
1996.00,11.00,118.00,21.40,22.00
1996.00,12.00,50.90,13.70,16.00
1997.00,1.00,61.40,14.90,14.00
1997.00,2.00,155.30,17.90,25.00
1997.00,3.00,31.40,11.50,16.00
1997.00,4.00,48.00,14.80,6.00
1997.00,5.00,66.10,12.90,19.00
1997.00,6.00,101.40,20.40,18.00
1997.00,7.00,47.80,14.20,15.00
1997.00,8.00,231.30,59.00,24.00
1997.00,9.00,73.10,16.00,18.00
1997.00,10.00,113.10,52.00,16.00
1997.00,11.00,215.60,40.80,25.00
1997.00,12.00,127.70,22.20,21.00
1998.00,1.00,178.50,30.70,19.00
1998.00,2.00,20.30,5.20,14.00
1998.00,3.00,107.80,32.20,19.00
1998.00,4.00,139.20,34.20,23.00
1998.00,5.00,52.60,16.60,16.00
1998.00,6.00,128.90,22.90,22.00
1998.00,7.00,74.10,12.80,18.00
1998.00,8.00,106.30,50.80,15.00
1998.00,9.00,91.50,13.90,21.00
1998.00,10.00,167.10,27.90,22.00
1998.00,11.00,137.60,20.00,19.00
1998.00,12.00,177.00,23.80,26.00
1999.00,1.00,140.90,15.00,24.00
1999.00,2.00,27.90,5.20,19.00
1999.00,3.00,53.50,11.90,21.00
1999.00,4.00,106.90,34.20,22.00
1999.00,5.00,56.50,12.60,13.00
1999.00,6.00,35.40,14.60,12.00
1999.00,7.00,21.10,7.30,10.00
